EU rejects German call to boycott British lamb .	NNP VBZ JJ NN TO VB JJ NN .
Peter Blackburn	NNP NNP
BRUSSELS 1996-08-22	NNP CD
The European Commission said on Thursday it disagreed with German advice to consumers to shun British lamb until scientists determine whether mad cow disease can be transmitted to sheep .	DT NNP NNP VBD IN NNP PRP VBD IN JJ NN TO NNS TO VB JJ NN IN NNS VBP IN JJ NN NN MD VB VBN TO NN .
Germany 's representative to the European Union 's veterinary committee Werner Zwingmann said on Wednesday consumers should buy sheepmeat from countries other than Britain until the scientific advice was clearer .	NNP POS NN TO DT NNP NNP POS JJ NN NNP NNP VBD IN NNP NNS MD VB NN IN NNS JJ IN NNP IN DT JJ NN VBD JJR .
" We do n't support any such recommendation because we do n't see any grounds for it , " the Commission 's chief spokesman Nikolaus van der Pas told a news briefing .	" PRP VBP RB VB DT JJ NN IN PRP VBP RB VB DT NNS IN PRP , " DT NNP POS JJ NN NNP NNP FW NNP VBD DT NN NN .
He said further scientific study was required and if it was found that action was needed it should be taken by the European Union .	PRP VBD JJ JJ NN VBD VBN CC IN PRP VBD VBN IN NN VBD VBN PRP MD VB VBN IN DT NNP NNP .
He said a proposal last month by EU Farm Commissioner Franz Fischler to ban sheep brains , spleens and spinal cords from the human and animal food chains was a highly specific and precautionary move to protect human health .	PRP VBD DT NN JJ NN IN NNP NNP NNP NNP NNP TO VB NN NNS , NNS CC JJ NNS IN DT NN CC NN NN NNS VBD DT RB JJ CC JJ NN TO VB JJ NN .
Fischler proposed EU-wide measures after reports from Britain and France that under laboratory conditions sheep could contract Bovine Spongiform Encephalopathy ( BSE ) -- mad cow disease .	JJR VBN NNP VBZ IN NNS IN NNP CC NNP WDT IN NN NNS NN MD VB NNP NNP NNP ( NNP ) : JJ NN NN .
But Fischler agreed to review his proposal after the EU 's standing veterinary committee , mational animal health officials , questioned if such action was justified as there was only a slight risk to human health .	CC NNP VBD TO VB PRP$ NN IN DT NNP POS NN JJ NN , JJ NN NN NNS , VBD IN JJ NN VBD VBN IN RB VBD RB DT JJ NN TO JJ NN .
Spanish Farm Minister Loyola de Palacio had earlier accused Fischler at an EU farm ministers ' meeting of causing unjustified alarm through " dangerous generalisation . "	NNP NNP NNP NNP NNP NNP VBD RBR VBN NNP IN DT JJ NN NNS POS NN IN VBG JJ NN IN " JJ NN . "
.	.
Only France and Britain backed Fischler 's proposal .	RB NNP CC NNP VBD NNP POS NN .
